Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"Fleischmann, Charles",tn,Republican,0.489,0.060926076,0.0,0.687611931266,0.051135121254,0.691868985444,0.776052483542,0.575648539124,0.68001168879,0.0965121903505,0.681111789795,0.860150373949,0.524435287976,0.694777991825,0.0937629844191,0.68668131536,0.874221236777,0.54582735425,0.248398369249
"Luetkemeyer, Blaine",mo,Republican,0.445,2.344299793,0.0,0.889262461624,0.0627937342419,0.893355512999,1.0,0.768028179307,0.723975408039,0.0969950750283,0.706844480522,0.911469836126,0.586011315489,0.717207010487,0.0906948720428,0.705382250102,0.884159250452,0.584903227815,0.685835095137
"Shuster, Bill",pa,Republican,0.377,3.828664541,0.0,0.729587531835,0.059174580033,0.730210398158,0.842791942819,0.590179215901,0.683011846487,0.0925427287539,0.676766164752,0.856940170206,0.536431613629,0.570836363972,0.0807857955838,0.580411307849,0.704568406292,0.432302855941,0.359674088956
"Lamborn, Doug",co,Republican,0.692,1.897396445,0.0,0.943115285789,0.0509058339781,0.954589675831,1.0,0.833023972741,0.846327479179,0.106835871774,0.841072623624,1.0,0.669867481276,0.871411885233,0.103182458145,0.880682792271,1.0,0.69476234922,0.487026336861
"Vela, Filemon",tx,Democratic,-0.316,0.045694556,0.0,0.743687926461,0.0515466181301,0.748534810436,0.830320912747,0.615751308534,0.301174803817,0.0776857385563,0.286262534859,0.483684276063,0.184136871341,0.350907679258,0.0710638038571,0.350462023781,0.487287124569,0.223856729211,1.0
"McGovern, James",ma,Democratic,-0.534,0.094435416,0.0,0.00625064915572,0.0180961759084,0.0,0.0636887096512,0.0,0.100085877663,0.0840211881599,0.077444213084,0.294612653939,0.0,0.0633769473088,0.0656333043281,0.044770678492,0.211546952365,0.0,0.769560708899
"Yoho, Ted",fl,Republican,0.698,0.699867845,0.0,0.920483817479,0.0535240543978,0.919096066022,1.0,0.806237937694,0.833097884331,0.104921073734,0.831700296365,1.0,0.677722766017,0.819718028175,0.101805977025,0.818238881224,1.0,0.66702582134,0.471289214056
"Kaptur, Marcy",oh,Democratic,-0.351,0.407464027,0.0,0.351781634021,0.0695383446017,0.360206817073,0.470767254254,0.199223815124,0.127736576104,0.0751594642744,0.112222197879,0.308018050755,0.0,0.124753655907,0.0652555344255,0.12844051077,0.246659626133,0.0,0.833132348508
"Messer, Luke",in,Republican,0.555,0.726543844,0.0,0.671425439307,0.0676262893802,0.6739536099,0.811246315942,0.54615876325,0.551722408151,0.0785468703976,0.542310125739,0.70350898962,0.439584250923,0.581012059434,0.0777586150988,0.576496233238,0.721679379619,0.448605651764,0.575822673567
"Long, Billy",mo,Republican,0.578,0.407072991,0.0,0.825053048169,0.0539970639493,0.824103037981,0.934509789603,0.729207342737,0.773757294023,0.101984787752,0.757192673552,0.970288653459,0.610761134227,0.76152910331,0.0950740311242,0.749513258015,0.931031606043,0.620213583455,0.402487961477
"Brownley, Julia",ca,Democratic,-0.275,0.346537948,0.0,0.371714126101,0.073009459435,0.374370087096,0.515593720119,0.212002337912,0.213195418992,0.0770718336908,0.190875545782,0.390707057951,0.0898955913717,0.242741197529,0.0723523225459,0.243368545719,0.37388179395,0.108560460199,0.724980218995
"Paulsen, Erik",mn,Republican,0.404,1.386417031,1.0,0.713522271956,0.0511580442377,0.71765322294,0.803078807888,0.610017674141,0.53089014978,0.0774794827871,0.529119412624,0.680816960645,0.408159444673,0.538775647449,0.0760606763077,0.539493447406,0.684415770685,0.386584465093,0.816927579319
"Payne, Donald",nj,Democratic,-0.504,0.680407941,0.0,0.212403440333,0.0913466005139,0.219471456046,0.362395956336,0.000766415510615,0.152061760619,0.0898151202541,0.136157699511,0.334304064351,0.0,0.14424449326,0.0735627335397,0.142748274988,0.28633034049,0.00356767464108,0.400529473198
"Perlmutter, Ed",co,Democratic,-0.303,0.837358475,0.0,0.648630514277,0.05334149308,0.652605289969,0.746180530874,0.533719805329,0.203197539055,0.0761091451765,0.18990187782,0.383705603114,0.0763787939518,0.222170050159,0.064735226549,0.222495989877,0.343334599521,0.0904527394864,1.0
"Rogers, Harold",ky,Republican,0.332,5.99363327,0.0,0.752137102088,0.0695267412015,0.74758978779,0.88958584383,0.60413288717,0.504738763027,0.0806384209386,0.49853459644,0.66487575284,0.374061768938,0.551379474793,0.0764632534221,0.554069036532,0.69134910835,0.41425585518,0.896595275844
"Sewell, Terri",al,Democratic,-0.407,0.191842124,0.0,0.436908430074,0.0645519654135,0.438066976246,0.547371865078,0.304669418347,0.213545736893,0.0815116330525,0.194626750059,0.38281797799,0.0784911786047,0.225625479722,0.0703505066362,0.224845132802,0.353706078929,0.0952883074026,0.837297297297
"Clawson, Curt",fl,Republican,0.626,0.230931744,0.0,0.761833187451,0.0596371502885,0.764729966633,0.867947797717,0.642597675695,0.276167828299,0.127752075893,0.233520801311,0.581348044511,0.109567264707,0.522176750414,0.0734939730769,0.520186150085,0.658486314014,0.401446944871,0.978494623656
"Coffman, Mike",co,Republican,0.496,4.367919445,1.0,0.708995342331,0.0573518902925,0.712166021317,0.81888160749,0.576801528588,0.547338830934,0.0799248721322,0.544617761902,0.70588886635,0.416015824202,0.552322294412,0.0783457577324,0.547603354236,0.718386715629,0.422627136627,0.781591424449
